Bandit,Reward,Algorithm
3,3,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
1,1,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
2,2,ThompsonSampling
2,2,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
3,3,ThompsonSampling
3,3,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
3,3,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
1,1,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
3,3,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
4,4,ThompsonSampling
